Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name,price
80619,"Samsung Galaxy M30s (Blue, 6GB RAM, 128GB Storage) Just Rs.16999",Amazon India,Electronics,,,,https://linksredirect.com/?pub_id=41826&url=https://www.amazon.in/Test-Exclusive-631/dp/B07HGJ7WM6/ref=sr_1_1?dchild=1&keywords=Samsung+M30s&qid=1593752376&sr=8-1,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/817/original/Amazon.in__Online_Shopping_for_Books__Kindle_E_Readers__Kindle_accessories__E_Books_and_Movies___TV.png?1371175177,817,Amazon India,
80620,OnePlus 8 5G (Glacial Green 6GB RAM+128GB Storage) Just Rs.41999,Amazon India,Electronics,,,,https://linksredirect.com/?pub_id=41826&url=https://www.amazon.in/Test-Exclusive-547/dp/B078BNQ318/ref=sr_1_1?dchild=1&keywords=OnePlus%3A+8&qid=1593752568&sr=8-1,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/817/original/Amazon.in__Online_Shopping_for_Books__Kindle_E_Readers__Kindle_accessories__E_Books_and_Movies___TV.png?1371175177,817,Amazon India,
80622,"Upto 50% OFF on Fossil Mens Watches, Wallets and Accessories",Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/sale/mens-sale/?page=1,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80623,"Upto 50% OFF on Fossil womens Watches, Wallets and Accessories",Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/sale/womens-sale/,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80624,Get Flat 10% OFF on First Order,Kalki Fashion,Fashion,,Maximum discount is INR 3500,WELCOME10,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80625,Get Flat 50% OFF on Selected items,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/sale-of-50-and-above,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80626,Upto 40% OFF on Designer Styles,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/sale-40-and-above,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80627,Get Flat 30% and above OFF on Handpicked Style Collection,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/sale-30-and-above,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80628,Enjoy 20% and above Discount on Editors pick collection,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/sale-20-and-above,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80629,Get Flat 50% OFF + Extra 10% OFF on Clothing,Vajor,Fashion,,,OPTIMISE10,https://linksredirect.com/?pub_id=41826&url=https://www.vajor.com/vajor-sale/flat-50-off/clothing.html,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3285/original/Vajor_%281%29.png?1500015998,3285,Vajor,
80630,Enjoy Flat 50% OFF + Extra 10% OFF on Shoes and Accessories,Vajor,Fashion,,,OPTIMISE10,https://linksredirect.com/?pub_id=41826&url=https://www.vajor.com/vajor-sale/flat-50-off/shoes-accessories.html,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3285/original/Vajor_%281%29.png?1500015998,3285,Vajor,
80631,Use Coupon Code and get upto 60% OFF on Home and Dcor,Vajor,Fashion,,,OPTIMISE10,https://linksredirect.com/?pub_id=41826&url=https://www.vajor.com/vajor-sale/flat-50-off/home-decor.html,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3285/original/Vajor_%281%29.png?1500015998,3285,Vajor,
80632,Buy anything below INR 999 and Get Extra 10% OFF on Vajor,Vajor,Fashion,,,OPTIMISE10,https://linksredirect.com/?pub_id=41826&url=https://www.vajor.com/catalog/category/view/s/under-999/id/898/,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/3285/original/Vajor_%281%29.png?1500015998,3285,Vajor,
80633,Get Flat 60% OFF on Kaspersky Total Security for 1 Device for 2 years,Kaspersky,Others,,,INKIS60,https://linksredirect.com/?pub_id=41826&url=https://www.kaspersky.co.in/total-security,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/2951/original/download_%285%29.png?1481291041,2951,Kaspersky,
80635,Save Upto 30% OFF on Internet Security,Kaspersky,Others,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kaspersky.co.in/internet-security,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/2951/original/download_%285%29.png?1481291041,2951,Kaspersky,
80636,Save Upto 20% OFF on Kaspersky Antivirus,Kaspersky,Others,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kaspersky.co.in/antivirus,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/2951/original/download_%285%29.png?1481291041,2951,Kaspersky,
